RndSelect,AuthorTitle,Title,Author,AuthorID,Per_Small,Per_Medium,Per_Large,little,without,other,nothing,again,before,these,least,about,those,though,after,through,together,where,under,never,right,first,always,great,there,others,still
3,plato_phaedo,phaedo,plato,13,0.886181886,0.890857143,0.627259259,0.043847521,0.202745995,1,0.555956679,0.432799014,0.764309764,0.390161725,0.322139303,0.421597633,0.213728941,0.198921833,0.685483871,0.401283317,0.341666667,0.147326507,0.188110403,0.599035933,0.047366621,0.523255814,0.594209559,0.225253991,0.893960192,0.338362069,0.454871795
1,stevenson_across,across,stevenson,14,0.85549563,0.804285714,0.765925926,0.375666601,0.405491991,0.413509061,0.388086643,0.258323058,0.418470418,0.579065588,0.842039801,0.272400676,0.157907971,0.417250674,0.500403226,0.493089832,0.343518519,0.696814562,0.349044586,0.437773883,0.024794802,0.456016178,0.185202206,0.38838897,0.688572409,0.208512931,0.760512821
2,stevenson_catriona,catriona,stevenson,14,0.92393528,0.895142857,0.562666667,0.383567055,0.269107551,0.274652859,0.442839952,0.483662145,0.721981722,0.290880503,0.743781095,0.315088757,0.078953985,0.385983827,0.367741935,0.26159921,0.372222222,0.976109215,0.212314225,0.709027169,0.041894665,0.644590495,0.176011029,0.338751814,0.841455045,0.105603448,0.432307692
3,stevenson_new,new,stevenson,14,0.879300725,0.782285714,0.750814815,0.308512739,0.488787185,0.374676394,0.493983153,0.268187423,0.870610871,0.270889488,0.725124378,0.254860524,0.106864471,0.309433962,0.450403226,0.2976308,0.412037037,0.573947668,0.268789809,0.337861525,0.034627223,0.359959555,0.122702206,0.335849057,0.469972546,0.14924569,0.658974359
1,twain_adventures,adventures,twain,15,1,0.91,0.426074074,0.367766147,0.186727689,0.24193928,0.964500602,0.514180025,0.712842713,0.145777179,0.080845771,0.826289096,0.002263012,0.174663073,0.526612903,0.384007897,0.197222222,0.800910125,0.314649682,0.779579316,0.232130643,0.473205258,0.404411765,0.026995646,1,0.074892241,0.351794872
2,twain_prince,prince,twain,15,0.835782035,0.872857143,0.725925926,0.414378827,0.304347826,0.368557308,0.311070999,0.509864365,0.639249639,0.401392633,0.128109453,0.430896027,0.052049283,0.135309973,0.571774194,0.525172754,0.383333333,0.496018203,0.238216561,0.226555653,0.053009576,0.410515672,0.183363971,0.4287373,0.46379547,0.111530172,0.613846154
3,twain_puddnhead,puddnhead,twain,15,0.90942905,0.848285714,0.63437037,0.248271776,0.341418764,0.383619675,0.460890493,0.4297164,0.689273689,0.282345013,0.243781095,0.385883347,0.108624591,0.073854447,0.46733871,0.368213228,0.181481481,0.335039818,0.300212314,0.550832603,0.092339261,0.387259858,0.225643382,0.273730044,0.539121482,0.11637931,0.443076923
1,wells_invisible,invisible,wells,16,0.856611493,0.833428571,0.73362963,0.47896504,0.200915332,0.17227583,0.490373045,0.760480888,0.593073593,0.145552561,0.155472637,0.499154691,0.147095801,0.247978437,0.632258065,0.74284304,0.328703704,0.499431172,0.363906582,0.19237511,0.058994528,0.517694641,0.086397059,0.175907112,0.703157172,0.123922414,0.718461538
2,wells_time,time,wells,16,0.842849172,0.826571429,0.762666667,0.686351965,0.200457666,0.26523888,0.24488568,0.588779285,0.722943723,0.520440252,0.310945274,0.45646661,0.133769173,0.304043127,0.416532258,0.741855874,0.231481481,0.498862344,0.425477707,0.274320771,0.0374487,0.759858443,0.143841912,0.381712627,0.644646534,0.202586207,0.802564103
3,wells_war,war,wells,16,0.819230054,0.820571429,0.806814815,0.369543749,0.290617849,0.230171805,0.526474128,0.550246609,0.586339586,0.416442049,0.256218905,0.627641589,0.241639427,0.240431267,0.678225806,1,0.25462963,0.370875995,0.495541401,0.165644172,0.026419289,0.763902932,0.047334559,0.244121916,0.765785861,0.092672414,0.80974359
