Title,Author,Per_Small,Per_Medium,Per_Large,little,without,other,nothing,again,before,these,least,about,those,though,after,through,together,where,under,never,right,first,always,great,there,others,still
cast,alger,48.67,30.11,21.22,0.1131,0.0628,0.0700,0.0898,0.0449,0.0826,0.0449,0.0162,0.2728,0.0323,0.0539,0.1023,0.0592,0.0233,0.1598,0.0413,0.0844,0.1041,0.0736,0.0556,0.0431,0.3626,0.0126,0.0664
ragged,alger,47.02,31.98,21.00,0.2224,0.0741,0.1144,0.0614,0.0614,0.1588,0.0508,0.0127,0.2266,0.0212,0.0529,0.1038,0.0254,0.0233,0.1758,0.0127,0.1228,0.0995,0.0953,0.0805,0.0720,0.3812,0.0169,0.0318
struggling,alger,47.65,29.50,22.85,0.1212,0.0567,0.0958,0.0665,0.0411,0.0841,0.0254,0.0117,0.2288,0.0293,0.1076,0.1271,0.0196,0.0215,0.1271,0.0508,0.0626,0.0958,0.0782,0.0508,0.0684,0.3168,0.0117,0.0469
history,aristotle,45.73,30.79,23.49,0.1129,0.0703,0.3869,0.0182,0.1161,0.0632,0.4067,0.0142,0.1745,0.1216,0.0687,0.2480,0.0695,0.0592,0.1003,0.1019,0.0774,0.0482,0.1271,0.0284,0.1011,0.3372,0.1856,0.0221
meteorology,aristotle,46.42,30.41,23.17,0.0673,0.0487,0.2506,0.0348,0.1787,0.1160,0.3875,0.0116,0.1160,0.2553,0.0835,0.0766,0.0998,0.0394,0.1346,0.0394,0.0209,0.0232,0.1299,0.1276,0.1439,0.3945,0.0835,0.0278
nicomachean,aristotle,47.79,27.29,24.93,0.0451,0.1164,0.4096,0.0879,0.0867,0.0451,0.4452,0.0368,0.1793,0.3977,0.0795,0.0261,0.0297,0.0522,0.0309,0.0356,0.0178,0.1757,0.0831,0.0558,0.0784,0.3016,0.1722,0.0261
emma,austen,46.49,29.79,23.72,0.2295,0.1360,0.1399,0.1602,0.1373,0.1564,0.0420,0.0534,0.1583,0.0604,0.1125,0.1023,0.0388,0.0509,0.0553,0.0400,0.2276,0.0559,0.1316,0.1513,0.1678,0.3484,0.0375,0.0731
northanger,austen,45.87,27.75,26.37,0.1339,0.1443,0.1508,0.1456,0.1157,0.1885,0.0650,0.0546,0.1495,0.0468,0.1560,0.1508,0.0637,0.0546,0.0663,0.0312,0.2054,0.0338,0.1352,0.1131,0.1261,0.2730,0.0338,0.0650
persuasion,austen,45.58,28.63,25.79,0.2120,0.1301,0.1722,0.1662,0.1590,0.1397,0.0626,0.0506,0.1168,0.0867,0.1409,0.1156,0.0409,0.0650,0.0614,0.0518,0.1855,0.0506,0.1337,0.1325,0.1554,0.3444,0.0650,0.0879
pride,austen,45.43,28.04,26.53,0.1543,0.1404,0.1732,0.1461,0.1461,0.1880,0.0575,0.0525,0.1026,0.0476,0.1855,0.1683,0.0345,0.0534,0.0772,0.0271,0.1806,0.0304,0.1248,0.0985,0.1166,0.2865,0.0443,0.0607
